date,name,comment
2025-10-04,Diana,"La musique était vraiment au top . Tu t’es adapté et tu es à l’écoute, tes transitions mix etc étaient de très bonne qualité ! Merci encore pour ta prestation. "
2026-02-14,Noah,"C’était incroyableeee!!!"
